"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Late Cretaceous sedimentary rocks","sandstone","Kia","Mudstone, glauconitic sandstone and mudstone with minor red mudstone, greensand dikes and concretions"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","greywacke","Te","Sandstone and mudstone in a sheared argillite matrix with broken formation and melange"," ","15_undifSed"
"Late Pleistocene river deposits","gravel","?Q2al","Well sorted, rounded greywacke gravel in sandy matrix","Ohakea alluvial terrace deposits","16_terrace"
"Early Pleistocene sedimentary rocks","sandstone","eQo","Sandstone, siltstone, conglomerate and shell beds"," ","15_undifSed"
"Middle Pleistocene river deposits","gravel","?mQal","undifferentiated middle Pleistocene alluvial gravels","alluvial terrace depsilts","16_terrace"
"Neogene sedimentary rocks","sandstone","eMt+mMt","Sandstone, massive mudstone, sandy mudstone with minor concretionary limestone","Undifferentiated Early to Middl*","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q10al","Weathered, poorly to moderately sorted gravel with minor sand and silt underlying eroded terraces; includes minor fan deposits a","Aldworth alluvial terrace deposits","16_terrace"
"Neogene sedimentary rocks","sandstone","lPmku","Alternating sequences of sandstone, limestone and mudstone"," ","15_undifSed"
"Late Cretaceous - Neogene sedimentary rocks","mudstone","Kiw+Egw","siliceous mudstone, claystone and sandstone","undifferentiated Tinui and Mang*","15_undifSed"
"Early Pleistocene sedimentary rocks","sandstone","eQk","Coarse pumice grit, tephra, sand, silt, shellbeds and conglomerate"," ","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q8al","Weathered, poorly to moderately sorted gravel with minor sand and silt underlying eroded terraces; includes minor fan deposits a","Q8 alluvium over Q9 beach deposits","18_crystalline"
"Early Pleistocene - Middle Pleistocene sedimentary rocks","conglomerate","mQs","Sandstone, siltstone, bioclastic limestone and conglomerate, including OIS 15-9 marine terrace deposits"," ","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q10al","Weathered gravel and loess deposits"," ","06_alluvium"
"Paleogene - Neogene sedimentary rocks","mudstone","Egw+Ogw","smectitic greenish-grey or reddish mudstone, calcareous mudstone, sandy mudstone","undifferentiated Wanstead and W*","15_undifSed"
"Late Pleistocene river deposits","gravel","Q4af","Weathered alluvial and colluvial fan deposits consisting of poorly sorted, weakly consolidated gravel, sand, clay and loess","Porewa alluvial and colluvial f*","06_alluvium"
"Neogene sedimentary rocks","sandstone","?mMt","alternating sandstone and mudstone, massive mudstone and minor limestone","undifferentiated Middle Miocene","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q11b","Gravel, sand and mud"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","lPmr","Coarse-grained, cross-bedded, yelllow-grey limestone"," ","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q8al","Weathered, poorly to moderately sorted gravel with minor sand and silt underlying eroded terraces; includes minor fan deposits a","Burnand alluvial terrace deposits","16_terrace"
"Early Pleistocene river, lake and shoreline deposits","gravel","?eQp","lacustrine and fluvial sediments","alluvium","06_alluvium"
"Neogene sedimentary rocks","mudstone","lPmo","Alternating sandy mudstone, coarse-grained sandstone and barnacle-rich limestone"," ","15_undifSed"
"Neogene sedimentary rocks","limestone","eMtl","Pebbly, fossiliferous limestone"," ","15_undifSed"
"Middle Pleistocene shoreline deposits","sand","Q9b","Weathered beach and shallow marine sand, gravel, loess and mud","Brunswick interglacial marine d*","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","mudstone","?Kiw","siliceous mudstone, glauconitic sandstone, alternating sandstone and mudstone, minor chert lenses, chocolate shale"," ","15_undifSed"
"Holocene river deposits","gravel","Q1al","loose gravel sand silt and clay in modern flood plains and low terraces","valley alluvium","06_alluvium"
"Late Pleistocene river deposits","gravel","Q2al","poorly to moderately sorted gravel with minor sand or silt underlying terraces","alluvium","06_alluvium"
"Early Cretaceous sedimentary rocks","mudstone","Kns","massive concretionary mudstone, alternating sandstone and mudstone, minor conglomerate and tuff"," ","15_undifSed"
"Paleogene - Neogene sedimentary rocks","mudstone","Ogw","white weathered calcareous mudstone","calcareous mudstone","15_undifSed"
"Early Cretaceous sedimentary rocks","conglomerate","Kng","matrix supported sedimentary conglomerate","olistostrome","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","conglomerate","Kam","Conglomerate, sandstone and alternating sandstone and mudstone","greywacke","15_undifSed"
"Holocene windblown deposits","sand","Q1d","undifferentiated active and inactive dunes and estuarine deposits","sand dunes","11_loess"
"Middle Pleistocene river deposits","gravel","Q6af","Very weathered alluvial and colluvial fan deposits consisting of poorly sorted, weakly consolidated gravel, sand, clay and loess","Marton alluvial and colluvial f*","06_alluvium"
"Neogene sedimentary rocks","coquina","Pept","limestone"," ","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","Kia","glauconitic sandstone","sandstone","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","mudstone","Kiw","rusty weathered mudstone with minor greensand and glauconitic sandstone","chocolate shale","15_undifSed"
"Early Cretaceous sedimentary rocks","mudstone","Kns","fossiliferous mudstone dominated unit","conglomerate","15_undifSed"
"Late Pleistocene shoreline deposits","gravel","Q5b","beach deposits of marine gravel and sand, with overlying loess deposits","beach deposits","09_beachBarDune"
"Late Cretaceous sedimentary rocks","sandstone","Kb","well bedded alternating sandstone, mudstone and argillite","Cretaceous cover sequence","15_undifSed"
"Pleistocene - Holocene river deposits","gravel","uQal","weathered unsorted, undifferentiated alluvial gravel","undifferentiated alluvium","06_alluvium"
"Late Pleistocene river deposits","gravel","Q3al","weathered, poorly to moderately sorted gravel with loess, sand and silt","alluvium","06_alluvium"
"Neogene sedimentary rocks","sandstone","eMi","alternating sandstone and mudstone, massiveconcretionary mudstone and fine sandstone","undifferentiated early Miocene","15_undifSed"
"Late Pleistocene river and lake deposits","gravel","eQam","lacustrine and fluvial sediments","alluvium","06_alluvium"
"Basement (Eastern Province) sedimentary rocks","greywacke","Ktw","alternating sandstone and mudstone, thick sandstone","greywacke","15_undifSed"
"Neogene sedimentary rocks","mudstone","Pea","massive, poorly bedded mudstone and minor alternating sandstone and mudstone"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","greywacke","Te","sandstone and mudstone in a sheared argillite matrix with broken formation and melange","Torlesse, Esk Head Belt","15_undifSed"
"Pleistocene - Holocene hill slope deposits","gravel","uQl","landslide debris","undifferentiated landslides","15_undifSed"
"Basement (Eastern Province) igneous rocks","basalt","Tev","small to large blocks of basalt within melange zones","volcanics in the Esk Head Belt","18_crystalline"
"Early Pleistocene river deposits","gravel","eQal","pumiceous sand and gravel","alluvial deposits","06_alluvium"
"Basement (Eastern Province) sedimentary rocks","greywacke","Ktp","well bedded sandstone and mudstone","Torlesse","15_undifSed"
"Late Pleistocene river deposits","gravel","Q4al","weathered, poorly to moderately sorted gravel with loess, sand and silt","alluvium","06_alluvium"
"Neogene sedimentary rocks","mudstone","lMi","dominantly massive mudstone with minor alternating beds of sandstone and mudstone","undifferentiated late Miocene","15_undifSed"
"Neogene sedimentary rocks","coquina","Per","barnacle grainstone","limestone member of the Makuri S","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","mudstone","Kiw-Ogw","undifferentiated Tinui and Mangatu groups"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Miw","well bedded alternating sandstone and mudstone with interbedded olistostrome deposits"," ","15_undifSed"
"Neogene sedimentary rocks","coquina","Pet","limestone","Te Aute Limestone","15_undifSed"
"Neogene sedimentary rocks","coquina","Pepw","limestone"," ","15_undifSed"
"Late Pleistocene shoreline deposits","gravel","Q5b","Beach deposits consisting of marine gravel with sand; commonly underlying loess and fan deposits","Beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","algal limestone","Mitl","algal limestone","algal limestone","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Ms","alluvial conglomerate with shallow marine sandstone, mudstone and bioclastic limestone"," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","mMi","sandy mudstone with mudstone and sandstone interbeds","undifferentiated middle Miocene","15_undifSed"
"Middle Pleistocene river deposits","gravel","mQal","undifferentiated middle Pleistocene alluvial gravels","alluvial deposits","06_alluvium"
"Holocene river deposits","gravel","Q1al","Well sorted floodplain gravels","Alluvial deposits","06_alluvium"
"Holocene windblown deposits","sand","Q1ds","Inactive dunes","Aeolian dunes","11_loess"
"Paleogene sedimentary rocks","sandstone","Pkf","Quartzo-feldspathic sandstones and pebbly conglomerates","Cover","15_undifSed"
"Holocene windblown deposits","sand","Q1d","Sand dunes","dune deposits","11_loess"
"Holocene swamp deposits","peat","Q1as","Swamp deposits consisting of poorly  consolidated sand mud and peat","swamp deposits","01_peat"
"Paleogene sedimentary rocks","limestone","On","Crystalline to sandy limestone and calcareous mudstone and sandstone","Cover","15_undifSed"
"Early Pleistocene river deposits","gravel","eQal","Weathered; poorly sorted loess-covered fan gravel; alluvial gravel and lacustrine silt deposits; including Te Muna Formation"," ","06_alluvium"
"Paleogene sedimentary rocks","sandstone","Kpn","Interbedded sandstone and siltstone with minor conglomerate","Cover","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","Kpp","Interbedded sandstone and siltstone with coal measures","Cover","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q7b","Moderately weathered beach deposits consisting of marine sand on raised terraces","beach deposits","09_beachBarDune"
"Holocene river deposits","gravel","Q1al","Well sorted gravels forming modern flood plains and young fan gravels","alluvial deposits","06_alluvium"
"Late Pleistocene river deposits","gravel","Q2af","Poorly sorted steep fan gravel deposits","Fan deposits","10_fan"
"Basement (Eastern Province) sedimentary rocks","chert","Tet","Chert"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Kam","highly deformed alternating sandstone and mudstone","greywacke","15_undifSed"
"Neogene sedimentary rocks","coquina","Pek","barnacle grainstone","Kairakau Limestone","15_undifSed"
"Holocene shoreline deposits","sand","Q1b","loose boulders and sand on modern day marine terrace","marine bench","15_undifSed"
"Early Pleistocene river deposits","gravel","eQa","Very weathered clay bound gravel deposits forming relict high aggradation terraces overtopped by loess and fan gravels","alluvial deposits","06_alluvium"
"Holocene river deposits","gravel","Q1af","loose boulders, gravel sand and clay","alluvial fans","10_fan"
"Late Pleistocene shoreline deposits","gravel","Q5b","Slightly weathered beach deposits consisting of marine sand on raised terraces","alluvial deposits","15_undifSed"
"Late Pleistocene river deposits","gravel","Q2al","Poorly to moderately sorted gravel with minor sand or silt underlying terraces; includes minor fan gravel","Alluvial deposits","06_alluvium"
"Late Pleistocene river deposits","gravel","Q3al","Weathered; poorly sorted to moderately sorted gravel underlying loess-covered; commonly eroded aggradational surfaces","Alluvial deposits","06_alluvium"
"Late Cretaceous sedimentary rocks","sandstone","Kpr","Sandstone with interbedded carbonaceous mudstone and thin coal seams","Cover","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q8al","highly weathered, poorly to moderately sorted gravel with loess, sand and silt","alluvium","06_alluvium"
"Middle Pleistocene river deposits","gravel","Q6al","highly weathered, poorly to moderately sorted gravel with loess, sand and silt","alluvium","06_alluvium"
"Basement (Western Province) igneous rocks","granite","Ksg","Equigranular biotite granite","Cretaceous intrusions","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Tt","Alternating sandstone and mudstone; poorly bedded sandstone with minor coloured mudstone; conglomerate; basalt; chert"," ","15_undifSed"
"Neogene sedimentary rocks","siltstone","Mb","Blue-grey calcareous siltstone and mudstone basal calcareous sandstone","Cover","15_undifSed"
"Holocene windblown deposits","sand","Q1dm","Active dunes","Active dunes","11_loess"
"Basement (Western Province) metamorphic rocks","schist","Omo","Biotite-muscovite schist metaquartzite bands","Onekaka Schist","18_crystalline"
"Basement (Western Province) metamorphic rocks","limestone","Oma","Black limestone lime mudstone with conodonts and sparse corals","Mount Arthur 2","18_crystalline"
"Holocene swamp deposits","silt","Q1as","Swamp deposits consisting of poorly consolidated silt; mud; peat and sand","Swamp deposits","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q8a","Weathered clay bound gravel and minor fan deposits forming high aggradation terraces","alluvial deposits","06_alluvium"
"Pleistocene - Holocene hill slope deposits","boulders","uQl","Undifferentiated earthflow deposits containing poorly sorted clasts up to boulders size in a clay matrix","landslide deposits","15_undifSed"
"Basement (Western Province) metamorphic rocks","schist","Cpw","Hornblende-biotite schist amphibolite and metagreywacke","Wakamarama Schist","18_crystalline"
"Late Pleistocene river deposits","gravel","Q2al","Clay bound gravels and minor fan deposits forming lowest aggradation surfaces above major rivers","alluvial deposits","06_alluvium"
"Middle Pleistocene river deposits","gravel","Q8al","Weathered; poorly sorted to moderately sorted gravel underlying loess-covered; commonly eroded aggradational surfaces","Alluvial deposits","06_alluvium"
